Areaname,land_area
"Sac, IA",578.42
"Scott, IA",468.2
"Shelby, IA",591.4
"Sioux, IA",768.65
"Story, IA",573.73
"Tama, IA",722.42
"Taylor, IA",534.85
"Union, IA",425.98
"Van Buren, IA",490.59
"Wapello, IA",436.02
"Warren, IA",573.24
"Washington, IA",570.81
"Wayne, IA",527.12
"Webster, IA",718.1
"Winnebago, IA",401.59
"Winneshiek, IA",689.93
"Woodbury, IA",877.43
"Worth, IA",401.73
"Wright, IA",582.58
KANSAS,82282
"Allen, KS",505.24
"Anderson, KS",584.35
"Atchison, KS",435.06
"Barber, KS",1136.27
"Barton, KS",900.5
"Bourbon, KS",638.88
"Brown, KS",572.23
"Butler, KS",1446.49
"Chase, KS",778.06
"Chautauqua, KS",644.87
"Cherokee, KS",591.02
"Cheyenne, KS",1020.89
"Clark, KS",977.27
"Clay, KS",655.46
"Cloud, KS",718.51
"Coffey, KS",654.63
"Comanche, KS",789.75
"Cowley, KS",1132.67
"Crawford, KS",595.11
"Decatur, KS",894.23
"Dickinson, KS",852.66
"Doniphan, KS",397.1
"Douglas, KS",474.5
"Edwards, KS",622.13
"Elk, KS",650.41
"Ellis, KS",900.52
"Ellsworth, KS",723.47
"Finney, KS",1302.69
"Ford, KS",1099.35
"Franklin, KS",576.7
"Geary, KS",403.95
"Gove, KS",1071.55
"Graham, KS",898.72
"Grant, KS",575.1
"Gray, KS",869.39
"Greeley, KS",778.05
"Greenwood, KS",1152.66
"Hamilton, KS",997.66
"Harper, KS",803
"Harvey, KS",540.54
"Haskell, KS",577.75
"Hodgeman, KS",860.29
"Jackson, KS",657.9
"Jefferson, KS",556.98
"Jewell, KS",914.51
"Johnson, KS",480.18
"Kearny, KS",871.57
"Kingman, KS",866.75
"Kiowa, KS",722.67
"Labette, KS",653.36
"Lane, KS",717.48
"Leavenworth, KS",468.36
"Lincoln, KS",719.97
"Linn, KS",606.35
"Logan, KS",1073.17
"Lyon, KS",855.21
"McPherson, KS",901.29
"Marion, KS",953.59
"Marshall, KS",904.41
"Meade, KS",979.72
"Miami, KS",590.2
"Mitchell, KS",718.65
"Montgomery, KS",651.45
"Morris, KS",702.9
"Morton, KS",729.99
"Nemaha, KS",719.43
"Neosho, KS",578.09
"Ness, KS",1075.07
"Norton, KS",881.42
"Osage, KS",719.29
"Osborne, KS",894.31
"Ottawa, KS",721.94
"Pawnee, KS",754.6
"Phillips, KS",894.84
"Pottawatomie, KS",862.12
