City,Population Density (Persons/Square Mile),2016 Population,Land Area (Square Miles)
"Meriden, Connecticut",2506,59622,24
"Dublin, California",3996,59583,15
"Coconut Creek, Florida",5013,59405,12
"Casper, Wyoming",2205,59324,27
"Owensboro, Kentucky",3105,59273,19
"Ocala, Florida",1322,59253,45
"Chapel Hill, North Carolina",2805,59246,21
"Pflugerville, Texas",2654,59245,22
"Lancaster, Pennsylvania",8191,59218,7
"Novi, Michigan",1957,59211,30
"Great Falls, Montana",2716,59178,22
"Springfield, Ohio",2336,59087,25
"Woodland, California",3861,59068,15
"Royal Oak, Michigan",5009,59006,12
"Porterville, California",3349,58978,18
"San Rafael, California",3579,58954,16
"Huntington Park, California",19561,58879,3
"Orland Park, Illinois",2690,58862,22
"Ankeny, Iowa",1999,58627,29
"Bartlett, Tennessee",2200,58622,27
"Sanford, Florida",2552,58605,23
"Dubuque, Iowa",1953,58531,30
"Arcadia, California",5354,58523,11
"Bowie, Maryland",3168,58393,18
"White Plains, New York",5961,58241,10
"Des Plaines, Illinois",4071,58141,14
"Doral, Florida",4175,57947,14
"Margate, Florida",6539,57870,9
"Santee, California",3561,57834,16
"Kokomo, Indiana",3124,57799,19
"Castle Rock, Colorado",1707,57666,34
"Grand Forks, North Dakota",2881,57339,20
"Midwest City, Oklahoma",2349,57305,24
"St. Peters, Missouri",2561,57289,22
"Medford, Massachusetts",7063,57213,8
"Corvallis, Oregon",4042,57110,14
"Hendersonville, Tennessee",1819,57050,31
"New Brunswick, New Jersey",10881,56910,5
"Taunton, Massachusetts",1217,56843,47
"Tinley Park, Illinois",3548,56831,16
"Diamond Bar, California",3817,56793,15
"Smyrna, Georgia",3691,56664,15
"Sarasota, Florida",3862,56610,15
"Greenwood, Indiana",2663,56545,21
"Fountain Valley, California",6267,56529,9
"Valdosta, Georgia",1576,56474,36
"Oak Lawn, Illinois",6549,56257,9
"Novato, California",2041,56004,27
"Chicopee, Massachusetts",2453,55991,23
"Weymouth Town, Massachusetts",3334,55972,17
"Dearborn Heights, Michigan",4750,55761,12
