fips,population
13077,148509
13089,759297
13113,114421
13115,98498
13121,1063937
13129,57963
13135,936250
13151,234561
13177,29992
13185,117406
13233,42613
15003,974563
15007,72293
16001,481587
16013,23021
16081,12142
17031,5150233
17035,10766
17043,922921
17089,532403
17097,696535
17111,307774
17167,194672
17163,259686
17203,38459
18001,35777
18011,67843
18063,170311
18067,82544
18081,158167
18091,109888
18097,964582
18113,47744
18141,271826
18179,28296
19027,20165
19049,93453
19085,14049
19103,151140
19155,93206
20015,66911
20059,25544
20091,602401
20209,165429
21017,19788
21067,323152
21097,18886
21111,766757
21173,28157
21179,46233
22015,127039
22017,240204
22051,432493
22057,97614
22071,390144
22089,53100
22095,42837
22103,260419
22109,110461
23001,108277
23005,295003
24003,579234
24005,827370
24013,168447
24017,163257
24025,255441
24031,1050688
24033,909327
25001,212990
25003,124944
25005,565217
25009,789034
25017,1611699
25021,706775
25025,803907
25027,830622
26017,103126
26029,26143
26065,292406
26081,656955
26089,21761
26099,873972
26115,150500
26117,63888
26125,1257584
26147,159128
26161,367601
26163,1749343
27003,356921
27019,105089
27037,429021
27053,1265843
27109,158293
27123,550321
27129,14548
27145,161075
27171,138377
28029,28065
28035,74897
28083,28183
28109,55535
29077,293086
29083,21824
29189,994205
30031,114434
30049,69432
30063,119600
30093,34915
30111,161300
31025,26248
31055,571327
32510,55916
32003,2266715
32031,471519
33009,89886
33015,309769
34003,932202
34005,445349
34007,506471
34013,798975
34017,672391
34021,367430
34023,825062
34025,618795
34027,491845
34029,607186
34031,501826
34039,556341
NA,NA
35001,679121
35043,146748
35049,150358
35053,16637
36001,305506
36007,190488
36025,44135
36027,294218
36043,61319
36055,741770
36059,1356924
NA,NA
36071,384940
36087,325789
36091,229863
36093,155299
36103,1476601
36107,48203
36109,102180
36111,177573
36119,967506
37019,142820
37025,216453
37037,74470
37049,102139
37067,382295
37085,135976
37101,209339
37119,1110356
37133,197938
37183,1111761
37191,123131
38101,67641
39013,67006
39017,383134
39035,1235072
39049,1316756
39093,309833
39151,370606
39153,541013
39155,197974
39157,91987
40065,24530
40109,797434
40143,651552
41005,418187
41017,197692
41019,110980
41029,220944
41035,68238
41043,129749
41047,347818
41051,812855
41053,86085
41059,77950
41067,601592
42003,1216045
42017,628270
42029,524989
42041,253370
42045,566747
42089,170271
42091,830915
42095,305285
42101,1584064
42103,55809
42125,206865
42127,51361
NA,NA
NA,NA
45013,192122
45019,411406
45055,66551
45057,98012
45063,298750
45083,319785
46005,18453
46009,6901
46023,9292
46035,19775
46087,5586
