date,geoid,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2020-03-01,USA-06,California,5,3.43,0.01,0,0,0
2020-03-01,USA-04,Arizona,0,0,0,0,0,0
2020-03-02,USA-55,Wisconsin,0,0,0,0,0,0
2020-03-02,USA-53,Washington,6,2.57,0.03,3,0.86,0.01
2020-03-02,USA-49,Utah,0,0.14,0,0,0,0
2020-03-02,USA-48,Texas,0,0.14,0,0,0,0
2020-03-02,USA-44,Rhode Island,0,0.29,0.03,0,0,0
2020-03-02,USA-41,Oregon,0,0.29,0.01,0,0,0
2020-03-02,USA-36,New York,0,0.14,0,0,0,0
2020-03-02,USA-33,New Hampshire,1,0.14,0.01,0,0,0
2020-03-02,USA-31,Nebraska,0,0.14,0.01,0,0,0
2020-03-02,USA-25,Massachusetts,1,0.14,0,0,0,0
2020-03-02,USA-17,Illinois,1,0.29,0,0,0,0
2020-03-02,USA-13,Georgia,2,0.29,0,0,0,0
2020-03-02,USA-12,Florida,0,0.29,0,0,0,0
2020-03-02,USA-06,California,5,3.86,0.01,0,0,0
2020-03-02,USA-04,Arizona,0,0,0,0,0,0
2020-03-03,USA-55,Wisconsin,0,0,0,0,0,0
2020-03-03,USA-53,Washington,9,3.86,0.05,4,1.43,0.02
2020-03-03,USA-49,Utah,0,0,0,0,0,0
2020-03-03,USA-48,Texas,0,0.14,0,0,0,0
2020-03-03,USA-44,Rhode Island,0,0.29,0.03,0,0,0
2020-03-03,USA-41,Oregon,0,0.29,0.01,0,0,0
2020-03-03,USA-37,North Carolina,1,0.14,0,0,0,0
2020-03-03,USA-36,New York,1,0.29,0,0,0,0
2020-03-03,USA-33,New Hampshire,1,0.29,0.02,0,0,0
2020-03-03,USA-31,Nebraska,0,0,0,0,0,0
2020-03-03,USA-25,Massachusetts,0,0.14,0,0,0,0
2020-03-03,USA-17,Illinois,0,0.29,0,0,0,0
2020-03-03,USA-13,Georgia,0,0.29,0,0,0,0
2020-03-03,USA-12,Florida,1,0.43,0,0,0,0
2020-03-03,USA-06,California,7,4.86,0.01,0,0,0
2020-03-03,USA-04,Arizona,1,0.14,0,0,0,0
2020-03-04,USA-55,Wisconsin,0,0,0,0,0,0
2020-03-04,USA-53,Washington,15,6,0.08,1,1.57,0.02
2020-03-04,USA-49,Utah,0,0,0,0,0,0
2020-03-04,USA-48,Texas,1,0.29,0,0,0,0
2020-03-04,USA-44,Rhode Island,0,0.29,0.03,0,0,0
2020-03-04,USA-41,Oregon,0,0.29,0.01,0,0,0
2020-03-04,USA-37,North Carolina,0,0.14,0,0,0,0
2020-03-04,USA-36,New York,9,1.57,0.01,0,0,0
2020-03-04,USA-34,New Jersey,1,0.14,0,0,0,0
2020-03-04,USA-33,New Hampshire,0,0.29,0.02,0,0,0
2020-03-04,USA-31,Nebraska,0,0,0,0,0,0
2020-03-04,USA-25,Massachusetts,0,0.14,0,0,0,0
2020-03-04,USA-17,Illinois,0,0.29,0,0,0,0
2020-03-04,USA-13,Georgia,0,0.29,0,0,0,0
2020-03-04,USA-12,Florida,0,0.43,0,0,0,0
2020-03-04,USA-06,California,10,4.14,0.01,1,0.14,0
2020-03-04,USA-04,Arizona,0,0.14,0,0,0,0
2020-03-05,USA-55,Wisconsin,0,0,0,0,0,0
2020-03-05,USA-53,Washington,28,10,0.13,0,1.57,0.02
2020-03-05,USA-49,Utah,0,0,0,0,0,0
2020-03-05,USA-48,Texas,4,0.86,0,0,0,0
2020-03-05,USA-47,Tennessee,1,0.14,0,0,0,0
2020-03-05,USA-44,Rhode Island,0,0.29,0.03,0,0,0
2020-03-05,USA-41,Oregon,0,0.29,0.01,0,0,0
2020-03-05,USA-37,North Carolina,0,0.14,0,0,0,0
2020-03-05,USA-36,New York,11,3.14,0.02,0,0,0
2020-03-05,USA-34,New Jersey,1,0.29,0,0,0,0
2020-03-05,USA-33,New Hampshire,0,0.29,0.02,0,0,0
2020-03-05,USA-32,Nevada,2,0.29,0.01,0,0,0
2020-03-05,USA-31,Nebraska,0,0,0,0,0,0
2020-03-05,USA-25,Massachusetts,1,0.29,0,0,0,0
2020-03-05,USA-24,Maryland,3,0.43,0.01,0,0,0
2020-03-05,USA-17,Illinois,1,0.43,0,0,0,0
2020-03-05,USA-13,Georgia,0,0.29,0,0,0,0
2020-03-05,USA-12,Florida,1,0.57,0,0,0,0
2020-03-05,USA-08,Colorado,2,0.29,0,0,0,0
2020-03-05,USA-06,California,12,5.86,0.01,0,0.14,0
2020-03-05,USA-04,Arizona,0,0.14,0,0,0,0
2020-03-06,USA-55,Wisconsin,0,0,0,0,0,0
2020-03-06,USA-53,Washington,11,11.29,0.15,1,1.71,0.02
2020-03-06,USA-49,Utah,2,0.29,0.01,0,0,0
2020-03-06,USA-48,Texas,3,1.14,0,0,0,0
2020-03-06,USA-47,Tennessee,0,0.14,0,0,0,0
2020-03-06,USA-45,South Carolina,2,0.29,0.01,0,0,0
2020-03-06,USA-44,Rhode Island,1,0.43,0.04,0,0,0
2020-03-06,USA-42,Pennsylvania,2,0.29,0,0,0,0
2020-03-06,USA-41,Oregon,0,0.14,0,0,0,0
2020-03-06,USA-40,Oklahoma,1,0.14,0,0,0,0
2020-03-06,USA-37,North Carolina,1,0.29,0,0,0,0
2020-03-06,USA-36,New York,22,6.29,0.03,0,0,0
2020-03-06,USA-34,New Jersey,2,0.57,0.01,0,0,0
2020-03-06,USA-33,New Hampshire,0,0.29,0.02,0,0,0
2020-03-06,USA-32,Nevada,0,0.29,0.01,0,0,0
2020-03-06,USA-31,Nebraska,1,0.14,0.01,0,0,0
2020-03-06,USA-27,Minnesota,1,0.14,0,0,0,0
2020-03-06,USA-25,Massachusetts,5,1,0.01,0,0,0
2020-03-06,USA-24,Maryland,0,0.43,0.01,0,0,0
2020-03-06,USA-21,Kentucky,1,0.14,0,0,0,0
2020-03-06,USA-18,Indiana,1,0.14,0,0,0,0
2020-03-06,USA-17,Illinois,1,0.57,0,0,0,0
2020-03-06,USA-15,Hawaii,1,0.14,0.01,0,0,0
2020-03-06,USA-13,Georgia,1,0.43,0,0,0,0
2020-03-06,USA-12,Florida,3,1,0,2,0.29,0
2020-03-06,USA-08,Colorado,6,1.14,0.02,0,0,0
2020-03-06,USA-06,California,14,7.71,0.02,0,0.14,0
2020-03-06,USA-04,Arizona,1,0.29,0,0,0,0
2020-03-07,USA-55,Wisconsin,0,0,0,0,0,0
2020-03-07,USA-53,Washington,24,14.29,0.19,4,2.14,0.03
2020-03-07,USA-51,Virginia,1,0.14,0,0,0,0
2020-03-07,USA-50,Vermont,1,0.14,0.02,0,0,0
2020-03-07,USA-49,Utah,0,0.29,0.01,0,0,0
2020-03-07,USA-48,Texas,0,1.14,0,0,0,0
2020-03-07,USA-47,Tennessee,0,0.14,0,0,0,0
2020-03-07,USA-45,South Carolina,0,0.29,0.01,0,0,0
2020-03-07,USA-44,Rhode Island,0,0.43,0.04,0,0,0
2020-03-07,USA-42,Pennsylvania,2,0.57,0,0,0,0
2020-03-07,USA-41,Oregon,4,0.71,0.02,0,0,0
2020-03-07,USA-40,Oklahoma,0,0.14,0,0,0,0
2020-03-07,USA-37,North Carolina,0,0.29,0,0,0,0
2020-03-07,USA-36,New York,45,12.71,0.07,0,0,0
2020-03-07,USA-34,New Jersey,0,0.57,0.01,0,0,0
2020-03-07,USA-33,New Hampshire,2,0.57,0.04,0,0,0
2020-03-07,USA-32,Nevada,0,0.29,0.01,0,0,0
2020-03-07,USA-31,Nebraska,0,0.14,0.01,0,0,0
2020-03-07,USA-29,Missouri,1,0.14,0,0,0,0
2020-03-07,USA-27,Minnesota,0,0.14,0,0,0,0
2020-03-07,USA-25,Massachusetts,5,1.71,0.02,0,0,0
2020-03-07,USA-24,Maryland,0,0.43,0.01,0,0,0
2020-03-07,USA-21,Kentucky,0,0.14,0,0,0,0
2020-03-07,USA-20,Kansas,1,0.14,0,0,0,0
2020-03-07,USA-18,Indiana,0,0.14,0,0,0,0
2020-03-07,USA-17,Illinois,0,0.43,0,0,0,0
2020-03-07,USA-15,Hawaii,0,0.14,0.01,0,0,0
2020-03-07,USA-13,Georgia,4,1,0.01,0,0,0
2020-03-07,USA-12,Florida,5,1.71,0.01,0,0.29,0
2020-03-07,USA-11,District of Columbia,1,0.14,0.02,0,0,0
2020-03-07,USA-08,Colorado,0,1.14,0.02,0,0,0
2020-03-07,USA-06,California,19,10.29,0.03,0,0.14,0
2020-03-07,USA-04,Arizona,2,0.57,0.01,0,0,0
2020-03-08,USA-55,Wisconsin,0,0,0,0,0,0
2020-03-08,USA-53,Washington,31,17.71,0.23,3,2.29,0.03
2020-03-08,USA-51,Virginia,1,0.29,0,0,0,0
2020-03-08,USA-50,Vermont,0,0.14,0.02,0,0,0
2020-03-08,USA-49,Utah,0,0.29,0.01,0,0,0
2020-03-08,USA-48,Texas,4,1.71,0.01,0,0,0
2020-03-08,USA-47,Tennessee,2,0.43,0.01,0,0,0
2020-03-08,USA-45,South Carolina,4,0.86,0.02,0,0,0
2020-03-08,USA-44,Rhode Island,0,0.14,0.01,0,0,0
2020-03-08,USA-42,Pennsylvania,2,0.86,0.01,0,0,0
2020-03-08,USA-41,Oregon,7,1.57,0.04,0,0,0
2020-03-08,USA-40,Oklahoma,0,0.14,0,0,0,0
2020-03-08,USA-37,North Carolina,0,0.29,0,0,0,0
2020-03-08,USA-36,New York,17,15,0.08,0,0,0
2020-03-08,USA-34,New Jersey,2,0.86,0.01,0,0,0
2020-03-08,USA-33,New Hampshire,0,0.57,0.04,0,0,0
2020-03-08,USA-32,Nevada,2,0.57,0.02,0,0,0
2020-03-08,USA-31,Nebraska,2,0.43,0.02,0,0,0
2020-03-08,USA-29,Missouri,0,0.14,0,0,0,0
2020-03-08,USA-27,Minnesota,1,0.29,0.01,0,0,0
2020-03-08,USA-25,Massachusetts,15,3.86,0.06,0,0,0
2020-03-08,USA-24,Maryland,2,0.71,0.01,0,0,0
2020-03-08,USA-21,Kentucky,3,0.57,0.01,0,0,0
2020-03-08,USA-20,Kansas,0,0.14,0,0,0,0
2020-03-08,USA-19,Iowa,3,0.43,0.01,0,0,0
2020-03-08,USA-18,Indiana,1,0.29,0,0,0,0
2020-03-08,USA-17,Illinois,1,0.57,0,0,0,0
2020-03-08,USA-15,Hawaii,1,0.29,0.02,0,0,0
2020-03-08,USA-13,Georgia,4,1.57,0.01,0,0,0
2020-03-08,USA-12,Florida,1,1.57,0.01,0,0.29,0
2020-03-08,USA-11,District of Columbia,0,0.14,0.02,0,0,0
2020-03-08,USA-09,Connecticut,1,0.14,0,0,0,0
2020-03-08,USA-08,Colorado,0,1.14,0.02,0,0,0
2020-03-08,USA-06,California,12,11.29,0.03,0,0.14,0
2020-03-08,USA-04,Arizona,0,0.57,0.01,0,0,0
2020-03-09,USA-55,Wisconsin,1,0.14,0,0,0,0
2020-03-09,USA-53,Washington,38,22.29,0.29,3,2.29,0.03
2020-03-09,USA-51,Virginia,3,0.71,0.01,0,0,0
2020-03-09,USA-50,Vermont,0,0.14,0.02,0,0,0
2020-03-09,USA-49,Utah,0,0.29,0.01,0,0,0
2020-03-09,USA-48,Texas,1,1.86,0.01,0,0,0
2020-03-09,USA-47,Tennessee,1,0.57,0.01,0,0,0
2020-03-09,USA-45,South Carolina,1,1,0.02,0,0,0
2020-03-09,USA-44,Rhode Island,0,0.14,0.01,0,0,0
2020-03-09,USA-42,Pennsylvania,4,1.43,0.01,0,0,0
2020-03-09,USA-41,Oregon,0,1.57,0.04,0,0,0
2020-03-09,USA-40,Oklahoma,0,0.14,0,0,0,0
2020-03-09,USA-39,Ohio,3,0.43,0,0,0,0
2020-03-09,USA-37,North Carolina,5,1,0.01,0,0,0
2020-03-09,USA-36,New York,36,20.14,0.1,0,0,0
2020-03-09,USA-34,New Jersey,5,1.57,0.02,0,0,0
2020-03-09,USA-33,New Hampshire,0,0.43,0.03,0,0,0
2020-03-09,USA-32,Nevada,0,0.57,0.02,0,0,0
2020-03-09,USA-31,Nebraska,0,0.43,0.02,0,0,0
2020-03-09,USA-29,Missouri,0,0.14,0,0,0,0
2020-03-09,USA-27,Minnesota,0,0.29,0.01,0,0,0
2020-03-09,USA-25,Massachusetts,13,5.57,0.08,0,0,0
2020-03-09,USA-24,Maryland,1,0.86,0.01,0,0,0
2020-03-09,USA-22,Louisiana,1,0.14,0,0,0,0
